Serial No.,Category,Poetry
817,Judai Shayari,Kis qadar azziyyat hay zara soocho tu
818,Judai Shayari,Jis ne milna hi nahi uski tammanna kerna
819,Judai Shayari,Ab is ke baad koi raabta na hoga
820,Judai Shayari,Ye baat taeh hay magar sawaal dard ka hay!
821,Judai Shayari,Abhi umeed baaqi hay ke bicharda howa ik shakhs
822,Judai Shayari,Kisi bhi moor pe aaker mujhay hairaan kerdayga!
823,Judai Shayari,Kisi ke pass hay woh saray ka sara
824,Judai Shayari,Meray pass bus aik tasweer hay uski!
825,Judai Shayari,Talaash ker na sako gay phir mujhay wahan jaa ker
826,Judai Shayari,Ghalat samajh ker jahan tum ne khodiya tha mujhay
827,Judai Shayari,Kabhi pooch ker daikh humse apni yadoon ka aalam
828,Judai Shayari,Saari raat sitaroon se tera zikar kiya kertay hain
829,Judai Shayari,Aaj teri yaad aye tu ehsaas howa utar
830,Judai Shayari,Jain jo dil main woh bhulae nahi jatay
831,Judai Shayari,Qatra qatra kerkay pighalti rahi intizaar-e-zeest
832,Judai Shayari,Woh kerain gay hum se raabta shayed aaj shayed aaj
833,Judai Shayari,Terey baad jo howa hay woh haal ye hay
834,Judai Shayari,Main sanwar bhi jaoon to bikhra sa lagta hoon
